ID,Category
P1,Could you let us know your device ex iPhone S and the OS version ex iOS  It would be really helpful 
P2,Be sure to set up Touch ID 
P3,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P4,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P5,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P6,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P7,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P8,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P9,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P10,Hi LBY  AlbyPlays Do u want to get FREE iPhone  Please check my bi  Thx  dasadas
P11,Be sure to set up Touch ID 
P12,Be sure to set up Touch ID 
P13,Could you let us know your device ex iPhone S and the OS version ex iOS  It would be really helpful 
P14,Could you let us know your device ex iPhone S and the OS version ex iOS  It would be really helpful 
P15,iphone s release today time to get paid  fsdsdfdsf
P16,Be sure to set up Touch ID 
P17,Hi gabbi  gabzxoxo Do you want to get FREE iPhone
P18,Hi nicki  nickiburrowz 
P19,Hi ashly  NicholesSole Do you want tit
